,pre-processado-sw-lemma,Toxic_predict,Toxic_predict_str
738,construction fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk traitor vandal must die fuk th,1,Toxic
739,sdfvgrtghtrf padraic feeney gay,1,Toxic
740,keith carr love butt,1,Toxic
741,stupid picture made wanted put userpage,1,Toxic
742,obama two slogan change hope along others progress say reference obama clearly denying political fact sure creator family guy may clearly seen anti bush liberal doe mean canot criticize obama policy homeless guy asked change peter gave nothing hope anyone ha read news past two year see obvious remark obama,1,Toxic
743,cock sucker jewish licker sorry inconvenience caused,1,Toxic
744,ok ur gay ha ha ahhhhhhhhhhh ah ha ha wer u goin wish u wer dead hav 2 oon report,1,Toxic
745,shut sick tired one target rant,1,Toxic
746,done capped lot added support clearly good luck flc great new year,0,Non-Toxic
747,corrected speculative remark specifically possibly alcoholic also occasionally lying also list stole kid lunch money 4th grade also adulterous usually refers married person ha affair e g ham adulterous sexually casual wa little ridiculous recent edits go way direction,1,Toxic
748,minor biblical figure article moved minor biblical figure listing variant spelling penuel penueul already shown,0,Non-Toxic
749,like take staff member would like thank frankiefan making gay sex memorable,1,Toxic
750,fuck shitting italic textverb act shitting fucked anus italic textphrase phrase used constipated express one anger,1,Toxic
751,never heard anything stupid venezuela soverain state people decide liberty want like bushist pro yankee dictatorship panama,1,Toxic
752,im huge queer face love boyfriend give poo mustache,1,Toxic
753,feral druid really fucking shitty roll warrior rogue death knight big useless faggot,1,Toxic
754,hate pot smoker wish shot death pot smoker profoundly stupid enjoy harming toxic plant gun would shoot every fucking stoner fucking head stoner must die,1,Toxic
755,sex good aid great get 2 pas 2 anybody boy girl,1,Toxic
756,yea problem raul654 limit tfa request 5 noms time ton people trying get fa main page stupid policy,1,Toxic
757,idiot stick know try fuck donot know,1,Toxic
758,hey materialscientist go screw ha nothing dipsh,1,Toxic
759,speedy deletion تخت جمشید tag ha placed تخت جمشید requesting speedily deleted wikipedia ha done section a1 criterion speedy deletion short article providing little context reader please see wikipedia stub minimum information standard short article also please note article must notable subject provide reference reliable source verify content think notice wa placed error may contest deletion adding top page ha nominated deletion existing speedy deletion db tag coupled adding note talk page explaining position aware tagged speedy deletion article meet criterion may deleted without delay please remove speedy deletion tag donot hesitate add information article would would render conformance wikipedia policy guideline lastly please note article doe get deleted contact one admins request copy emailed,0,Non-Toxic
760,got ta miscegenation crap,1,Toxic
761,hi talk page feel free put anything want probably assume seen probably archive talk page policy delete message please donot vandalize page however revert obvious vandalism obstructs people view page thanks advance leaving message reason policy believe comment page even attack offer insight user think page ha never archived reading pleasure donot plan archive scratch page getting huge blank every 100 comment link archival copy want preserve diffs often use evidence reserve right make slight modification people comment providing doesnot change meaning promise change body people text think unethical may sign forgot put brakets make note somewhere also might move around stuff people put wrong section might add title people comment didnot whatever decide change obvious changed user didnot put signing somebody else name tolerated thing delete page besides stuff mention please revert modify comment page regardless whether personal attack vandalism etc deal vandalism page case case basis hand reverting vandalism userpage would much appreciated problem personal policy delete anything unless seriously impedes people view page e put big black box everybody comment revert deleting comment make feel unspecial believe message page inflammatory give people potentially valuable insight type contributor wikipedia page wa reverted believe reverting wa completely reasonable didnot see reasonable way preserving message everybody post please sign name four tilde like make lot easier everybody especially find said something time stamp problem use three tilde make sure post bottom page everything chronological order sorry redirecting page know frustrating create page find duplicate something already exists maybe like check page redirects see info could merged cleanup clean page cleanup please remove cleanup page otherwise cleanup page become even massive already oops sorry thought article may need bit work right removed remember next time fox affiliate wa link anything else started list fox affiliate ago merge done cleanup deleting cleanup page generally donot believe cleaning isnot definitive others might still need take whack cu ha getting truly massive lately sure enough though either people dilligent sending article worse writing going wp get popular think latter going case message wa response following hi geogre thanks lot helping fix article cleanup page however would really great could delete entry cleanup page help keep small possible friendly reminder please donot take insult anythi,0,Non-Toxic
762,barnstar style background color fdffe7 border 1px solid fceb92 rowspan 2 style vertical align middle padding 5px style font size x large padding 3px 3px 0 3px height 1 5em barnstar diligence style vertical align middle padding 3px think fantastic editor done age,0,Non-Toxic
763,weston kartes gay,1,Toxic
764,think mention went date total bitch http gizmodo com 5833787 brief okcupid affair world champion magic gathering player,0,Non-Toxic
765,potential source well,1,Toxic
766,necessary final clarification capacity editor article arthur rubin number physicist openly accused comment anti semitic thirty year ago criticized il grande grido physicist weinberg glashow coleman co truly incredible dishonesty conspiracy misconduct extreme documented opposition government united state america requested conduct research irreversibility via lie admissible theory evidently needed serious study combustion misconduct dishonesty conspiracy human knowedge personal ethnic aim extent cause hardship child tender age physicist documentedly aware fact risked life central italian apennines wwii shelter decent jew escaping nazi child bringing food om hide still carry scare body nazi shrapnel believe posturing physicist criticized matter dirty conduct patent purely nazi mentality violation principle constitution country thus setting foundation repetition america today exactly happened germany beginning past century took total control hosting country unfortunate style abused systematic discrimination essentially halton arp eugene mallove many scientist suffered created hate among german wa exploited created hitler whose consequence million decent jew seen regard physical truth organized interest einstein believe sole recipient truth systematically abuse capillary organization discredit disqualify dissident view ha going century organized discreditation rejection expansion universe luminary e hubble f zwicky l de broglie w podolksky k popper many others organized interest managed half century impose validity einstein theory within hyperdense medium inside hadron theory inapplicable according year measurement within medium thin atmosphere resulting clear misuse trillion taxpayer money silent majority responsible since silence organized protracted crime mankind complicity misuse investigated attorney general america chance survive current financial collapse lie keep seeing wikipedia article well comment others article physic reached level make puke pushed extreme sense dignity share pure blinding strictly anti american greed extent lie among ocean lie edited page ip shared many associated science several company shame removal comment turning favor puking shameful anti 0american act want terminate exposure vile abuse abusively obtained control preceding unsigned comment added,0,Non-Toxic
